"muni_code","muni_state","muni_name","comarca","state_codetj","comarca_codetj"
3538907,"SP","pirajuí","pirajuí","25","0453"
3539004,"SP","pirangi","pirangi","25","0698"
3539103,"SP","pirapora do bom jesus","barueri","25","0068"
3539202,"SP","pirapozinho","pirapozinho","25","0456"
3539301,"SP","pirassununga","pirassununga","25","0457"
3539400,"SP","piratininga","piratininga","25","0458"
3539509,"SP","pitangueiras","pitangueiras","25","0459"
3539608,"SP","planalto","buritama","25","0097"
3539707,"SP","platina","palmital","25","0415"
3539806,"SP","poá","poá","25","0462"
3539905,"SP","poloni","monte aprazível","25","0369"
3539905,"SP","poloni","monte aprazível","25","0682"
3540002,"SP","pompéia","pompéia","25","0464"
3540101,"SP","pongaí","pirajuí","25","0453"
3540200,"SP","pontal","pontal","25","0466"
3540259,"SP","pontalinda","jales","25","0297"
3540259,"SP","pontalinda","jales","25","0697"
3540309,"SP","pontes gestal","cardoso","25","0128"
3540408,"SP","populina","estrela d'oeste","25","0185"
3540507,"SP","porangaba","porangaba","25","0470"
3540507,"SP","porangaba","porangaba","25","0669"
3540606,"SP","porto feliz","porto feliz","25","0471"
3540705,"SP","porto ferreira","porto ferreira","25","0472"
3540754,"SP","potim","aparecida","25","0028"
3540804,"SP","potirendaba","potirendaba","25","0474"
3540853,"SP","pracinha","lucélia","25","0326"
3540903,"SP","pradópolis","guariba","25","0222"
3541000,"SP","praia grande","praia grande","25","0477"
3541059,"SP","pratânia","são manuel","25","0581"
3541109,"SP","presidente alves","pirajuí","25","0453"
3541208,"SP","presidente bernardes","presidente bernardes","25","0480"
3541307,"SP","presidente epitácio","presidente epitácio","25","0481"
3541406,"SP","presidente prudente","presidente prudente","25","0482"
3541406,"SP","presidente prudente","presidente prudente","25","0665"
3541505,"SP","presidente venceslau","presidente venceslau","25","0483"
3541604,"SP","promissão","promissão","25","0484"
3541653,"SP","quadra","tatuí","25","0624"
3541653,"SP","quadra","tatuí","25","0672"
3541653,"SP","quadra","tatuí","25","0693"
3541703,"SP","quatá","quatá","25","0486"
3541802,"SP","queiroz","tupã","25","0637"
3541901,"SP","queluz","queluz","25","0488"
3542008,"SP","quintana","pompéia","25","0464"
3542107,"SP","rafard","capivari","25","0125"
3542206,"SP","rancharia","rancharia","25","0491"
3542305,"SP","redenção da serra","taubaté","25","0625"
3542404,"SP","regente feijó","regente feijó","25","0493"
3542503,"SP","reginópolis","pirajuí","25","0453"
3542602,"SP","registro","registro","25","0495"
3542701,"SP","restinga","franca","25","0196"
3542800,"SP","ribeira","apiaí","25","0030"
3542909,"SP","ribeirão bonito","ribeirão bonito","25","0498"
3542909,"SP","ribeirão bonito","ribeirão bonito","25","0692"
3543006,"SP","ribeirão branco","itapeva","25","0270"
3543105,"SP","ribeirão corrente","franca","25","0196"
3543204,"SP","ribeirão do sul","ourinhos","25","0408"
3543238,"SP","ribeirão dos índios","santo anastácio","25","0553"
3543253,"SP","ribeirão grande","capão bonito","25","0123"
3543303,"SP","ribeirão pires","ribeirão pires","25","0505"
3543402,"SP","ribeirão preto","ribeirão preto","25","0506"
3543501,"SP","riversul","itaporanga","25","0275"
3543600,"SP","rifaina","pedregulho","25","0434"
3543709,"SP","rincão","américo brasiliense","25","0040"
3543808,"SP","rinópolis","tupã","25","0637"
3543907,"SP","rio claro","rio claro","25","0510"
3544004,"SP","rio das pedras","rio das pedras","25","0511"
3544103,"SP","rio grande da serra","rio grande da serra","25","0512"
3544202,"SP","riolândia","paulo de faria","25","0430"
3544202,"SP","riolândia","paulo de faria","25","0683"
3544251,"SP","rosana","rosana","25","0515"
3544301,"SP","roseira","roseira","25","0516"
3544400,"SP","rubiácea","guararapes","25","0218"
3544509,"SP","rubinéia","santa fé do sul","25","0541"
3544509,"SP","rubinéia","santa fé do sul","25","0689"
3544608,"SP","sabino","lins","25","0322"
3544707,"SP","sagres","osvaldo cruz","25","0407"
3544806,"SP","sales","urupês","25","0648"
3544905,"SP","sales oliveira","nuporanga","25","0397"
3545001,"SP","salesópolis","salesópolis","25","0523"
3545100,"SP","salmourão","osvaldo cruz","25","0407"
3545159,"SP","saltinho","piracicaba","25","0451"
3545209,"SP","salto","salto","25","0526"
3545308,"SP","salto de pirapora","salto de pirapora","25","0699"
3545407,"SP","salto grande","ourinhos","25","0408"
3545506,"SP","sandovalina","pirapozinho","25","0456"
3545605,"SP","santa adélia","santa adélia","25","0531"
3545704,"SP","santa albertina","jales","25","0297"
3545704,"SP","santa albertina","jales","25","0697"
3545803,"SP","santa bárbara d'oeste","santa bárbara d'oeste","25","0533"
3546009,"SP","santa branca","santa branca","25","0534"
3546108,"SP","santa clara d'oeste","santa fé do sul","25","0541"
3546108,"SP","santa clara d'oeste","santa fé do sul","25","0689"
3546207,"SP","santa cruz da conceição","leme","25","0318"
3546256,"SP","santa cruz da esperança","cajuru","25","0111"
3546306,"SP","santa cruz das palmeiras","santa cruz das palmeiras","25","0538"
3546405,"SP","santa cruz do rio pardo","santa cruz do rio pardo","25","0539"
3546504,"SP","santa ernestina","taquaritinga","25","0619"
3546603,"SP","santa fé do sul","santa fé do sul","25","0541"
3546603,"SP","santa fé do sul","santa fé do sul","25","0689"
3546702,"SP","santa gertrudes","rio claro","25","0510"
3546801,"SP","santa isabel","santa isabel","25","0543"
3546900,"SP","santa lúcia","américo brasiliense","25","0040"
3547007,"SP","santa maria da serra","são pedro","25","0584"
3547106,"SP","santa mercedes","panorama","25","0416"
3547205,"SP","santana da ponte pensa","santa fé do sul","25","0541"
3547205,"SP","santana da ponte pensa","santa fé do sul","25","0689"
3547304,"SP","santana de parnaíba","santana de parnaíba",NA,NA
3547403,"SP","santa rita d'oeste","santa fé do sul","25","0541"
3547403,"SP","santa rita d'oeste","santa fé do sul","25","0689"
3547502,"SP","santa rita do passa quatro","santa rita do passa quatro","25","0547"
3547601,"SP","santa rosa de viterbo","santa rosa de viterbo","25","0549"
3547650,"SP","santa salete","urânia","25","0646"
3547700,"SP","santo anastácio","santo anastácio","25","0553"
3547809,"SP","santo andré","santo andré","25","0554"
3547908,"SP","santo antônio da alegria","altinópolis","25","0042"
3548005,"SP","santo antônio de posse","jaguariúna","25","0296"
3548054,"SP","santo antônio do aracanguá","araçatuba","25","0032"
3548104,"SP","santo antônio do jardim","espírito santo do pinhal","25","0180"
3548203,"SP","santo antônio do pinhal","são bento do sapucaí","25","0563"
3548302,"SP","santo expedito","presidente prudente","25","0482"
3548302,"SP","santo expedito","presidente prudente","25","0665"
3548401,"SP","santópolis do aguapeí","birigui",NA,NA
3548500,"SP","santos","santos","25","0562"
3548609,"SP","são bento do sapucaí","são bento do sapucaí","25","0563"
3548708,"SP","são bernardo do campo","são bernardo do campo","25","0564"
3548807,"SP","são caetano do sul","são caetano do sul","25","0565"
3548906,"SP","são carlos","são carlos","25","0566"
3549003,"SP","são francisco","palmeira d'oeste","25","0414"
3549102,"SP","são joão da boa vista","são joão da boa vista","25","0568"
3549201,"SP","são joão das duas pontes","estrela d'oeste","25","0185"
3549250,"SP","são joão de iracema","general salgado","25","0204"
3549300,"SP","são joão do pau d'alho","tupi paulista","25","0638"
3549409,"SP","são joaquim da barra","são joaquim da barra","25","0572"
3549508,"SP","são josé da bela vista","franca","25","0196"
3549607,"SP","são josé do barreiro","bananal","25","0059"
3549607,"SP","são josé do barreiro","bananal","25","0684"
3549706,"SP","são josé do rio pardo","são josé do rio pardo","25","0575"
3549805,"SP","são josé do rio preto","são josé do rio preto","25","0576"
3549805,"SP","são josé do rio preto","são josé do rio preto","25","0675"
3549904,"SP","são josé dos campos","são josé dos campos","25","0577"
3549953,"SP","são lourenço da serra","itapecerica da serra","25","0177"
3549953,"SP","são lourenço da serra","itapecerica da serra","25","0268"
3549953,"SP","são lourenço da serra","itapecerica da serra","25","0680"
3549953,"SP","são lourenço da serra","itapecerica da serra","25","0685"
3550001,"SP","são luiz do paraitinga","são luiz do paraitinga","25","0579"
3550100,"SP","são manuel","são manuel","25","0581"
3550209,"SP","são miguel arcanjo","são miguel arcanjo","25","0582"
3550308,"SP","são paulo","são paulo","25","0000"
3550308,"SP","são paulo","são paulo","25","0001"
3550308,"SP","são paulo","são paulo","25","0002"
3550308,"SP","são paulo","são paulo","25","0003"
3550308,"SP","são paulo","são paulo","25","0004"
3550308,"SP","são paulo","são paulo","25","0005"
3550308,"SP","são paulo","são paulo","25","0006"
3550308,"SP","são paulo","são paulo","25","0007"
3550308,"SP","são paulo","são paulo","25","0008"
3550308,"SP","são paulo","são paulo","25","0009"
3550308,"SP","são paulo","são paulo","25","0010"
3550308,"SP","são paulo","são paulo","25","0011"
3550308,"SP","são paulo","são paulo","25","0012"
3550308,"SP","são paulo","são paulo","25","0013"
3550308,"SP","são paulo","são paulo","25","0014"
3550308,"SP","são paulo","são paulo","25","0015"
3550308,"SP","são paulo","são paulo","25","0016"
3550308,"SP","são paulo","são paulo","25","0017"
3550308,"SP","são paulo","são paulo","25","0018"
3550308,"SP","são paulo","são paulo","25","0020"
3550308,"SP","são paulo","são paulo","25","0021"
3550308,"SP","são paulo","são paulo","25","0050"
3550308,"SP","são paulo","são paulo","25","0052"
3550308,"SP","são paulo","são paulo","25","0053"
